Company,Year,Scope1_emissions_tCO2,Scope2_emissions_tCO2,Total_energy_GJ,Cementitious_production_tonnes,Freshwater_withdrawal_KL,Water_recycling_rate_pct,NOx_tonnes,SOx_tonnes,PM_tonnes,Renewable_energy_share_pct,Waste_used_as_AFR_pct
UltraTech,2020,48800000,6200000,152000000,87000000,18000000,18,42000,28000,8500,12.5,4.2
UltraTech,2021,47200000,5800000,149000000,96000000,17500000,22,40000,26000,8000,15.8,5.6
UltraTech,2022,45800000,5400000,147000000,102000000,16800000,25,38500,24500,7600,18.4,7.1
UltraTech,2023,44500000,5100000,145000000,110000000,16000000,28,36000,23000,7100,22.0,8.5
UltraTech,2024,43200000,4800000,142000000,116000000,15500000,30,34000,21000,6700,25.5,9.8
ACC,2020,22500000,2800000,72000000,42000000,9500000,15,21000,14000,4200,9.2,3.1
ACC,2021,21800000,2650000,71000000,45000000,9200000,19,20000,13200,4000,11.5,4.0
ACC,2022,21200000,2500000,70000000,48000000,8900000,22,19000,12500,3800,14.0,5.2
ACC,2023,20600000,2350000,69000000,51000000,8600000,25,18200,11800,3600,17.2,6.3
ACC,2024,20000000,2200000,68000000,54000000,8300000,28,17400,11100,3400,20.1,7.5
